,role,situated_at,unit_id,IS
438,Staff,Biotechnology Laboratories,STO0013709,StaffSTO0013709
439,Students' representative,Psychology and Cognitive Science - Department Council,ORI0000269,Students'representativeORI0000269
440,Teaching fellow,Department of Industrial Engineering,STO0008625,TeachingfellowSTO0008625
441,Collaborator,Training and Continuing Professional Development,STO0000235,CollaboratorSTO0000235
442,Director,Center for Mind/Brain Sciences - CIMeC,STO0008663,DirectorSTO0008663
443,Head,Rovereto University Library (BUR) room,STO0012838,HeadSTO0012838
444,Head,"Science Libraries (Science, Engineering, Cognitive Science)",STO0012837,HeadSTO0012837
445,Staff,Rovereto University Library (BUR) room,STO0012838,StaffSTO0012838
446,Staff,"Science Libraries (Science, Engineering, Cognitive Science)",STO0012837,StaffSTO0012837
447,Adjunct professor,"Department of Civil, Environmental and Mechanical Engineering",STO0008626,AdjunctprofessorSTO0008626
448,Staff,Technicians - Hydraulics and Soil Defence Laboratory,STO0012809,StaffSTO0012809
449,Visiting researcher,Department of Physics,STO0008627,VisitingresearcherSTO0008627
450,Rector's delegate for Orientation to Graduate Education,University of Trento,STO0000001,Rector'sdelegateforOrientationtoGraduateEducationSTO0000001
451,Senior Professor,Department of Economics and Management,STO0008621,SeniorProfessorSTO0008621
452,Head,Academic and Teaching Staff Office,STO0000868,HeadSTO0000868
453,President,Evaluation Group,ORI0000005,PresidentORI0000005
454,Students' representative,Mathematics - Department Council,ORI0000266,Students'representativeORI0000266
455,Students' representative,Joint Committee for the Right to Study and the Valorization of Merit,ORI0000141,Students'representativeORI0000141
456,Collaborator,Purchasing and Accounting - Trento,STO0008891,CollaboratorSTO0008891
457,Visiting professor,Department of Economics and Management,STO0008621,VisitingprofessorSTO0008621
458,Research fellowship holder,School of International Studies - SIS,STO0008633,ResearchfellowshipholderSTO0008633
459,Staff,Communications Staff - Povo,STO0008864,StaffSTO0008864
460,Students' representative,Information Engineering and Computer Science - Department Council,ORI0000267,Students'representativeORI0000267
461,Head,Web and Social Media Office,STO0012554,HeadSTO0012554
462,Deputy coordinator,,STO0013847,DeputycoordinatorSTO0013847
463,Guest,,STO0013847,GuestSTO0013847
464,Coordinator,,STO0013847,CoordinatorSTO0013847
465,Full professor,,STO0013847,FullprofessorSTO0013847
466,Students' representative,"Civil, Environmental and Mechanical Engineering - Department Council",ORI0000264,Students'representativeORI0000264
